CALL SIGN,COMPANY ,FREQUENCY,DISTRICT,REGION
Kyenjojo FM,Kyenjojo FM Ltd,92.4,Kyenjojo,
Kagadi Broadcasting ,Resilient Consultants Limited,93,Kibale,
Gold FM,Gold FM Ltd,93.3,Fort Portal,
Life FM Ltd,World Evangelical Ministries,93.8,Fort Portal,
Development FM,Bumatte Trading Company,94.2,Bundibugyo,
Emambya FM,Emambya FM Radio Ltd,95.4,Kibale,
KDR FM,Kyenjojo Development Radio,96.7,Kyenjojo,
Messiah Radio,Diocese of South Rwenzori,97.5,Kasese,
UBC,Uganda Broadcasting Corporation,98.8,Fort Portal,
Voice of Toro,Voice of Toro,101,Fort Portal,
Jubilee FM,Jubilee FM,105.6,Fort Portal,
KRC FM,Kabarole Research & Resource Centre,102,Fort Portal,
Radio Maria,Radio Maria Uganda Association,104.6,Fort Portal,
Crane FM,Crane Broadcasting Limited,87.6,Bushenyi,
Radio Kinkizi,Kinkizi FM Limited,88,Kinkizi,
ENDIGITYO RADIO,ENDIGITYO RADIO LIMITED,88.3,Mbarara,
Radio Ankole,Radio Ankole ,88.4,Ntungamo,"Kiruhura, Isingiro, Mbarara, Ntungamo,Ibanda, Buhweju, Bushenyi, Shema, Rukungiri, Rubirizi, itoma, Kanungu, Kabale, Kisoro"
Voice of Muhabura,Muhabura Investments ,88.9,Kisoro,
Capital FM,Capital Radio Limited ,88.7,Mbarara,
Vision Radio,Vision Empire Ltd,89.1,Mbarara,
Kool FM,Kool FM,89.3,Kabale,
Voice of Kigezi,Voice of Kigezi ,89.5,Kabale,
Rwenzori FM,Rwenzori FM Limited,89.7,Ibanda,
VOA,Voice of Africa (UMC for EC&SA),90.6,Mbarara,
Kisoro FM,Mgahinga Investments Limited,91.1,Kisoro,
Crooze FM,Open Sky Investments Limited,91.2,Mbarara,
Top Radio,Christian Life Ministries,91.8,Mbarara,
BFM,Bushenyi FM Limited,92.2,Bushenyi,
Grace Radio,Lion of Judah,92.6,Bushenyi,
Ntare FM,Ntare FM Limited,93.2,Mbarara,
Radio Rukungiri,Radio Rukungiri,93.5,Kabale,
UBC,Uganda Broadcasting Corporation,93.7,Kabale,
Radio West,New Vision Printing and Publishing Co. Ltd,94.3,Kabale,
Freedom FM,Freedom Radio,94.7,Kabale,
Voice of Toro,Voice of Toro,95,Mbarara,
Kanungu FM,Kanungu Broadcasting Service,95.4,Kanungu,
LOVE FM,Western Broadcasting Service,95.8,Mbarara,
Life Radio,Baptist International Mission of Uganda,96.2,Mbarara,
XFM,New Vision Printing and Publishing ,96.6,Mbarara,
Voice of Rukungiri,Maendeleo Company Limited,96.9,Rukungiri,
UBC,Uganda Broadcasting Corporation,97.4,Mbarara,
UBC,Uganda Broadcasting Corporation,97.8,Kisoro,
Life Radio,Greater Afrikan Radio,98.3,Mbarara,
Radio Ankole,Radio Ankole ,99.3,Ntungamo,
Radio Nyabushozi,Nyabushozi FM Lmited,99.7,Nyabushozi,
Radio West,New Vision Printing and Publishing Co. Ltd,100.2,Mbarara,
Theo FM,Theodore Communication Ltd,101.8,Ishaka,
Millenium Voice,UNDP Millenium Villages Project,102.2,Isingiro,
Hits FM,Western Broadcasting Service,103.4,Mbarara,
UNESCO,UNESCO Kachwenkano,103.7,Kabale,
Radio Kaaro,Radio Kaaro,103.8,Kiruhura,
Vision Radio,Vision Empire Ltd,104.2,Ibanda,
Hunter FM,Hunter Communications Limited,105,Ishaka,
Radio Maria,Radio Maria Uganda Association,105.4,Mbarara,
Mercy  FM,Hope In Christ Power Ministries ,105.8,Mbarara,
Citizen Radio,Royal Media Services Limited,106.2,Jinja,
Way of Life Radio,Baptist International Mission of Uganda,106.6,Kanungu,
The Bridge,Link FM Ltd,107,Lyantonde,
BBC,BBC World Service,107.3,Mbarara,
World FM,PB Holdings Limited,101.3,Bushenyi,
Radio One,Radio One Limited,107.7,Mbarara,
KBS,Kisoro Broadcasting Services,90.2,Kisoro,
